doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	pairPrecision	pairRecall
bn/abc/00/abc_0069	1	51	CIA officials say they never received it.	CIA officials say they never built it.	received -> built	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 0], [3, 3]]]"	"[['CIA', 'they']]"	0	0
bn/abc/00/abc_0069	1	55	CIA officials say they never received it.	CIA officials say they never put it.	received -> put	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	[]	[]	0	0
bn/abc/00/abc_0069	1	46	CIA officials say they never received it.	CIA officials say they never completed it.	received -> completed	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	[]	[]	0	0
bn/abc/00/abc_0069	1	2	CIA officials say they never received it.	CIA men say they never received it.	officials -> men	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 1], [3, 3]]]"	"[['CIA men', 'they']]"	0	0
bn/abc/00/abc_0069	1	47	CIA officials say they never received it.	CIA officials say they never want it.	received -> want	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 0], [3, 3]]]"	"[['CIA', 'they']]"	0	0
bn/abc/00/abc_0069	1	53	CIA officials say they never received it.	CIA officials say they never studied it.	received -> studied	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 0], [3, 3]]]"	"[['CIA', 'they']]"	0	0
bn/abc/00/abc_0069	1	21	CIA officials say they never received it.	CIA officials say they finally received it.	never -> finally	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	[]	[]	0	0
bn/abc/00/abc_0069	1	26	CIA officials say they never received it.	CIA officials say they immediately received it.	never -> immediately	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	[]	[]	0	0
bn/abc/00/abc_0069	1	44	CIA officials say they never received it.	CIA officials say they never saw it.	received -> saw	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	[]	[]	0	0
bn/abc/00/abc_0069	1	40	CIA officials say they never received it.	CIA officials say they never know it.	received -> know	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 0], [3, 3]]]"	"[['CIA', 'they']]"	0	0
bn/abc/00/abc_0069	1	36	CIA officials say they never received it.	CIA officials say they never find it.	received -> find	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 0], [3, 3]]]"	"[['CIA', 'they']]"	0	0
bn/abc/00/abc_0069	1	39	CIA officials say they never received it.	CIA officials say they never watch it.	received -> watch	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	[]	[]	0	0
bn/abc/00/abc_0069	1	63	CIA officials say they never received it.	CIA officials say they never show it.	received -> show	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 0], [3, 3]]]"	"[['CIA', 'they']]"	0	0
